Date,Open,High,Low,Adj Close,Volume
2008-11-06,114.51,114.51,104.44,108.37,9072229.04
2008-11-07,108.33,115.91,105.24,113.77,6782573.38
2008-11-10,119.14,119.7,111.59,118.39,4730044.44
2008-11-11,117.42,118.67,112.66,114.58,7499238.66
2008-11-12,114.58,120.12,111.59,115.89,8933903.2
2008-11-14,118.07,118.84,113.42,115.01,7636198.22
2008-11-17,114.61,116.34,109.52,112.45,9336547.36
2008-11-18,112.66,112.66,103.99,104.67,11256921.76
2008-11-19,106.16,107.46,102.2,104.56,9433612.7
2008-11-20,103.99,103.99,99.66,101.67,5788711.72
2008-11-21,101.77,112.01,99.66,109.73,7899561.1
2008-11-24,109.19,115.18,106.22,112.64,9659172.3
2008-11-25,112.46,116.98,108.34,109.19,6662909.12
2008-11-26,109.03,114.82,107.71,114.28,7080102.28
2008-11-28,112.23,123.06,112.23,121.19,14006674.28
2008-12-01,121.19,128.64,120.53,122.22,13799702.46
2008-12-02,123.49,123.49,113.32,115.44,7683907.0
2008-12-03,116.2,119.52,113.0,115.86,11537146.12
2008-12-04,115.91,119.96,109.05,119.03,9527567.04
2008-12-05,116.65,118.14,112.29,113.05,8199305.6
2008-12-08,115.91,118.34,111.01,113.15,8794691.12
2008-12-10,119.12,120.63,114.72,117.22,9333556.36
2008-12-11,119.09,119.09,108.75,109.99,8424098.94
2008-12-12,110.48,110.48,102.96,104.28,8217293.3
2008-12-15,108.75,108.75,101.23,101.76,6921042.32
2008-12-16,101.83,105.05,100.74,103.86,6748125.78
2008-12-17,105.15,106.59,102.26,103.41,7473034.84
2008-12-18,102.89,111.38,102.26,110.6,6605114.9
2008-12-19,108.97,115.69,107.05,111.26,5705096.76
2008-12-22,112.55,112.55,109.06,110.62,4739086.76
2008-12-23,107.29,110.84,106.64,108.46,4116265.0
2008-12-24,107.62,109.35,102.31,103.59,10556804.08
2008-12-26,100.78,107.24,100.78,102.19,3640197.52
2008-12-29,103.12,103.89,99.66,103.3,5626189.9
2008-12-30,105.08,106.92,101.83,104.54,4064808.2
2008-12-31,106.65,106.65,102.31,103.54,2935288.64
2009-01-01,103.99,108.08,103.38,107.65,2811511.74
2009-01-02,107.68,110.21,107.06,107.96,6203315.38
2009-01-05,108.75,113.31,107.89,111.63,5573302.24
2009-01-06,111.57,113.09,107.95,109.72,6830199.06
2009-01-07,112.45,112.62,100.66,109.36,10401473.66
2009-01-09,108.31,119.12,105.08,116.33,16409093.6
2009-01-12,110.85,114.82,109.43,111.04,8764702.38
2009-01-13,108.24,116.34,105.77,113.88,15416501.32
2009-01-14,114.4,120.81,114.4,116.77,6876255.36
2009-01-15,112.66,113.31,107.97,110.59,8275553.74
2009-01-16,110.21,112.45,105.4,108.97,11297222.2
2009-01-19,112.21,112.21,105.57,108.49,7925737.2
2009-01-20,107.18,110.04,106.16,107.56,5348767.36
2009-01-21,106.38,108.55,105.08,106.65,4234821.46
2009-01-22,107.24,109.2,104.67,107.59,5594488.7
2009-01-23,106.18,108.09,104.71,105.33,3497865.16
2009-01-27,106.38,111.57,106.38,108.13,6051243.74
2009-01-28,103.58,111.16,103.58,110.61,5493485.86
2009-01-29,111.61,112.9,108.13,111.03,11489642.04
2009-01-30,110.07,112.26,108.61,111.51,9987618.48
2009-02-02,110.9,110.9,106.18,107.09,3710224.58
2009-02-03,107.46,111.11,107.46,108.95,4368457.02
2009-02-04,109.64,111.8,107.46,108.69,2850040.38
2009-02-05,108.98,109.55,104.24,105.26,4979799.66
2009-02-06,106.8,110.7,106.15,109.59,7845994.52
2009-02-09,108.98,114.14,108.25,112.26,5270768.62
2009-02-10,112.69,115.08,111.38,114.35,7789084.46
2009-02-11,112.9,114.0,111.6,112.2,5164679.34
2009-02-12,111.6,112.41,109.88,111.14,3262523.56
2009-02-13,111.16,113.34,110.51,111.42,3736050.66
2009-02-16,110.64,112.24,108.55,109.14,2869814.84
2009-02-17,108.11,108.93,104.62,105.77,3384125.0
2009-02-18,104.92,107.0,103.97,104.78,3015962.26
2009-02-19,105.06,107.41,104.41,106.69,3988236.9
2009-02-20,106.04,106.26,101.2,103.33,5472830.52
2009-02-24,102.44,103.69,100.37,102.21,5156420.88
2009-02-25,102.44,105.67,102.44,104.78,6329119.46
2009-02-26,104.84,106.93,103.97,105.1,10103195.82
2009-02-27,105.06,106.58,99.23,105.3,7742488.32
2009-03-02,103.34,105.06,99.13,100.23,4575359.28
2009-03-03,98.52,101.57,95.77,97.26,4084383.88
2009-03-04,97.65,101.23,97.26,100.38,3737303.18
2009-03-05,101.34,102.64,99.83,100.96,4914360.44
2009-03-06,100.26,105.68,99.75,104.99,6659086.78
2009-03-09,102.68,104.62,100.05,100.91,5201902.12
2009-03-12,100.62,105.71,100.62,104.06,9884309.58
2009-03-13,103.17,111.16,103.17,110.48,11699159.5
2009-03-16,111.16,113.95,109.5,113.3,5359859.18
2009-03-17,112.26,112.9,107.47,108.45,7967329.86
2009-03-18,108.98,112.14,108.98,110.1,7356693.76
2009-03-19,110.18,112.9,109.33,112.24,8467898.84
2009-03-20,115.28,115.28,110.18,111.11,4747910.9
2009-03-23,114.32,115.43,111.38,113.27,5261693.46
2009-03-24,113.82,116.07,111.64,113.7,7663798.82
2009-03-25,109.78,115.5,109.78,114.65,4394902.48
2009-03-26,111.74,125.97,111.74,121.72,17469340.92
2009-03-27,116.97,127.5,116.97,125.29,8120171.24
2009-03-30,116.34,124.24,112.9,114.05,5905023.96
2009-03-31,114.44,118.55,114.44,117.38,5480038.34
