Date,Open,High,Low,Close,Adj Close,Volume
2017-05-09,4.09,4.14,3.97,4.09,4.09,100100
2017-05-10,4.08,4.1,4.01,4.04,4.04,92200
2017-05-11,4.06,4.09,3.9,3.98,3.98,170900
2017-05-12,3.93,3.98,3.87,3.9,3.9,168500
2017-05-15,3.9,3.98,3.86,3.93,3.93,106100
2017-05-16,3.9,3.92,3.81,3.88,3.88,128900
2017-05-17,3.84,3.96,3.82,3.9,3.9,127400
2017-05-18,3.91,3.99,3.82,3.9,3.9,190100
2017-05-19,3.9,4.02,3.86,4.01,4.01,200700
2017-05-22,4.04,4.23,3.97,4.19,4.19,194600
2017-05-23,4.15,4.25,4.09,4.15,4.15,727400
2017-05-24,5.6,6.07,5.18,5.5,5.5,9697500
2017-05-25,5.55,5.69,5.4,5.58,5.58,1700300
2017-05-26,5.57,5.69,5.38,5.68,5.68,957300
2017-05-30,5.65,5.83,5.49,5.78,5.78,866700
2017-05-31,5.69,5.83,5.61,5.76,5.76,581100
2017-06-01,5.71,5.94,5.68,5.78,5.78,460600
2017-06-02,5.72,5.77,5.54,5.63,5.63,421200
2017-06-05,5.55,5.72,5.45,5.63,5.63,373000
2017-06-06,5.59,5.6,5.22,5.36,5.36,485100
2017-06-07,5.32,5.48,5.24,5.45,5.45,325300
2017-06-08,5.44,5.7,5.42,5.62,5.62,291900
2017-06-09,5.6,5.89,5.52,5.82,5.82,521600
2017-06-12,5.83,5.99,5.8,5.84,5.84,313800
2017-06-13,5.87,5.99,5.77,5.94,5.94,376000
2017-06-14,5.92,5.99,5.73,5.98,5.98,399700
2017-06-15,5.86,6.12,5.77,5.91,5.91,792600
2017-06-16,5.87,5.87,5.57,5.75,5.75,295100
2017-06-19,5.77,5.93,5.65,5.85,5.85,263800
2017-06-20,5.89,5.89,5.55,5.76,5.76,313300
2017-06-21,5.79,5.8,5.32,5.41,5.41,507700
2017-06-22,5.41,5.57,5.35,5.49,5.49,346000
2017-06-23,5.5,5.58,5.38,5.41,5.41,514000
2017-06-26,5.41,5.73,5.41,5.67,5.67,308900
2017-06-27,5.67,5.77,5.54,5.7,5.7,200500
2017-06-28,5.74,5.81,5.62,5.69,5.69,165300
2017-06-29,5.7,5.87,5.64,5.86,5.86,284600
2017-06-30,5.86,5.96,5.66,5.92,5.92,208200
2017-07-03,5.95,6.37,5.88,6.28,6.28,291100
2017-07-05,6.22,6.22,5.62,5.67,5.67,302800
2017-07-06,5.65,5.95,5.58,5.67,5.67,269200
2017-07-07,5.67,5.7,5.57,5.58,5.58,199100
2017-07-10,5.58,5.64,5.42,5.44,5.44,187600
2017-07-11,5.43,5.61,5.43,5.57,5.57,295300
2017-07-12,5.6,5.74,5.49,5.66,5.66,175500
2017-07-13,5.65,5.79,5.64,5.77,5.77,313800
2017-07-14,5.77,5.84,5.63,5.76,5.76,217500
2017-07-17,5.7,5.85,5.63,5.66,5.66,158800
2017-07-18,5.62,5.74,5.53,5.58,5.58,147100
2017-07-19,5.63,5.67,5.53,5.57,5.57,196800
2017-07-20,5.58,5.62,5.4,5.55,5.55,191800
2017-07-21,5.59,5.61,5.21,5.23,5.23,313600
2017-07-24,5.22,5.34,5.21,5.27,5.27,225100
2017-07-25,5.3,5.55,5.27,5.47,5.47,212700
2017-07-26,5.46,5.52,5.26,5.38,5.38,182700
2017-07-27,5.39,5.44,5.27,5.33,5.33,86300
2017-07-28,5.31,5.42,5.26,5.28,5.28,73500
2017-07-31,5.29,5.37,5.21,5.35,5.35,173800
2017-08-01,5.43,5.57,5.33,5.55,5.55,168700
2017-08-02,5.5,5.55,5.41,5.51,5.51,426700
2017-08-03,5.24,5.35,4.27,4.32,4.32,1206900
2017-08-04,4.38,4.73,4.38,4.7,4.7,553200
2017-08-07,4.71,4.75,4.5,4.6,4.6,269200
2017-08-08,4.67,4.68,4.47,4.54,4.54,327600
2017-08-09,4.49,4.63,4.45,4.6,4.6,217000
2017-08-10,4.54,4.58,4.31,4.4,4.4,594600
2017-08-11,4.35,4.54,4.31,4.46,4.46,203100
2017-08-14,4.49,4.65,4.38,4.64,4.64,213000
2017-08-15,4.63,4.66,4.35,4.36,4.36,261300
2017-08-16,4.32,4.38,4.24,4.28,4.28,256300
2017-08-17,4.24,4.38,4.2,4.33,4.33,193400
2017-08-18,4.33,4.4,4.27,4.31,4.31,175400
2017-08-21,4.15,4.33,4.02,4.16,4.16,270100
2017-08-22,4.17,4.21,4.06,4.15,4.15,148100
2017-08-23,4.08,4.21,4.08,4.16,4.16,97700
2017-08-24,4.23,4.3,4.16,4.28,4.28,159300
2017-08-25,4.28,4.37,4.21,4.35,4.35,183000
2017-08-28,4.37,4.4,4.23,4.29,4.29,153800
2017-08-29,4.31,4.31,4.06,4.11,4.11,193300
2017-08-30,4.15,4.17,4.08,4.11,4.11,113800
2017-08-31,4.17,4.17,4.02,4.06,4.06,199300
2017-09-01,4.06,4.22,4.03,4.22,4.22,152000
2017-09-05,4.19,4.25,4.02,4.11,4.11,124000
2017-09-06,4.15,4.2,4.04,4.11,4.11,139200
2017-09-07,4.14,4.22,4.12,4.2,4.2,113300
2017-09-08,4.2,4.25,4.08,4.23,4.23,163600
2017-09-11,4.22,4.23,4.16,4.18,4.18,114300
2017-09-12,4.18,4.28,4.08,4.1,4.1,184800
2017-09-13,4.09,4.24,4.09,4.15,4.15,184600
2017-09-14,4.17,4.21,4.1,4.15,4.15,177700
2017-09-15,4.16,4.2,4.08,4.15,4.15,227800
2017-09-18,4.15,4.18,4.1,4.14,4.14,103400
2017-09-19,4.17,4.26,4.11,4.19,4.19,157800
2017-09-20,4.16,4.22,4.12,4.21,4.21,158600
2017-09-21,4.2,4.31,4.18,4.25,4.25,183000
2017-09-22,4.25,4.31,4.2,4.29,4.29,90100
2017-09-25,4.28,4.43,4.22,4.24,4.24,108700
2017-09-26,4.25,4.36,4.24,4.27,4.27,60500
2017-09-27,4.3,4.38,4.24,4.28,4.28,131200
2017-09-28,4.32,4.39,4.28,4.31,4.31,138100
2017-09-29,4.31,4.34,4.19,4.21,4.21,129000
2017-10-02,4.24,4.28,4.19,4.26,4.26,93700
2017-10-03,4.27,4.3,4.16,4.19,4.19,93000
2017-10-04,4.23,4.38,4.2,4.25,4.25,192700
2017-10-05,4.25,4.33,4.2,4.25,4.25,93200
2017-10-06,4.25,4.28,4.18,4.23,4.23,82300
2017-10-09,4.21,4.24,4.01,4.06,4.06,201200
2017-10-10,4.1,4.17,4.03,4.05,4.05,183100
2017-10-11,4.03,4.14,4.01,4.06,4.06,160900
2017-10-12,4.03,4.04,3.92,3.94,3.94,330900
2017-10-13,3.98,4.01,3.93,3.94,3.94,151600
2017-10-16,3.96,4.11,3.94,4.09,4.09,127500
2017-10-17,4.07,4.24,4.03,4.23,4.23,196100
2017-10-18,4.19,4.3,4.07,4.1,4.1,134300
2017-10-19,4.05,4.07,3.9,3.94,3.94,178600
2017-10-20,3.97,4.06,3.91,3.99,3.99,115200
2017-10-23,4.0,4.13,3.91,3.95,3.95,206600
2017-10-24,3.96,3.99,3.93,3.95,3.95,69600
2017-10-25,3.93,3.98,3.91,3.97,3.97,137200
2017-10-26,3.98,4.04,3.92,3.94,3.94,70100
2017-10-27,3.93,3.98,3.79,3.8,3.8,252000
2017-10-30,3.79,3.8,3.69,3.71,3.71,229000
2017-10-31,3.71,3.74,3.6,3.61,3.61,227200
2017-11-01,3.63,3.83,3.62,3.68,3.68,214200
2017-11-02,3.68,3.7,3.59,3.63,3.63,168500
2017-11-03,3.69,3.69,3.53,3.56,3.56,249900
2017-11-06,3.55,3.85,3.55,3.77,3.77,253800
2017-11-07,3.88,3.98,3.78,3.83,3.83,397500
2017-11-08,4.7,5.23,4.17,5.2,5.2,2159900
2017-11-09,5.15,5.59,5.15,5.34,5.34,823100
2017-11-10,5.37,5.49,5.2,5.37,5.37,388900
2017-11-13,5.41,5.65,5.38,5.56,5.56,301600
2017-11-14,5.57,5.74,5.43,5.5,5.5,351200
2017-11-15,5.48,5.5,5.01,5.02,5.02,387300
2017-11-16,5.06,5.27,5.04,5.23,5.23,271600
2017-11-17,5.31,5.55,5.21,5.51,5.51,223500
2017-11-20,5.55,5.62,5.31,5.5,5.5,209000
2017-11-21,5.51,5.55,5.33,5.4,5.4,120500
2017-11-22,5.42,5.47,5.18,5.18,5.18,177400
2017-11-24,5.24,5.39,5.1,5.38,5.38,72600
2017-11-27,5.35,5.35,5.12,5.22,5.22,118900
2017-11-28,5.25,5.55,5.23,5.49,5.49,187000
2017-11-29,5.48,5.81,5.48,5.8,5.8,213400
2017-11-30,5.8,5.88,5.62,5.7,5.7,208400
2017-12-01,5.69,5.92,5.44,5.9,5.9,225100
2017-12-04,5.9,6.27,5.9,6.09,6.09,375800
2017-12-05,6.07,6.13,5.89,6.05,6.05,129400
2017-12-06,6.06,6.15,5.93,6.03,6.03,100900
2017-12-07,6.07,6.14,5.93,6.07,6.07,147900
2017-12-08,6.07,6.12,5.91,5.94,5.94,102300
2017-12-11,5.94,5.95,5.63,5.67,5.67,148400
2017-12-12,5.65,5.65,5.5,5.52,5.52,163300
2017-12-13,5.52,5.63,5.48,5.52,5.52,184100
2017-12-14,5.5,5.57,5.21,5.3,5.3,276900
2017-12-15,5.3,5.46,5.26,5.34,5.34,297600
2017-12-18,5.37,5.58,5.33,5.57,5.57,78200
2017-12-19,5.56,5.57,5.3,5.35,5.35,90800
2017-12-20,5.39,5.48,5.33,5.41,5.41,77300
2017-12-21,5.35,5.49,5.35,5.41,5.41,73200
2017-12-22,5.38,5.45,5.34,5.37,5.37,47100
2017-12-26,5.32,5.47,5.32,5.42,5.42,178000
2017-12-27,5.39,5.39,4.8,4.96,4.96,347200
2017-12-28,4.98,5.12,4.83,5.07,5.07,213600
2017-12-29,5.05,5.05,4.73,4.74,4.74,293300
2018-01-02,4.79,5.09,4.72,5.08,5.08,313000
2018-01-03,5.04,5.08,4.83,4.85,4.85,243700
2018-01-04,4.85,4.99,4.75,4.96,4.96,247800
2018-01-05,4.94,4.94,4.77,4.85,4.85,205500
2018-01-08,4.84,4.94,4.65,4.88,4.88,158200
2018-01-09,4.87,4.87,4.57,4.64,4.64,263100
2018-01-10,4.62,4.94,4.57,4.93,4.93,193300
2018-01-11,4.88,5.05,4.88,4.99,4.99,192000
2018-01-12,4.98,5.08,4.87,4.9,4.9,96400
2018-01-16,5.01,5.01,4.55,4.74,4.74,310800
2018-01-17,4.81,4.96,4.68,4.86,4.86,316800
2018-01-18,4.84,4.89,4.72,4.73,4.73,113200
2018-01-19,4.71,5.1,4.69,5.01,5.01,437900
2018-01-22,4.92,4.98,4.8,4.95,4.95,129800
2018-01-23,4.98,5.0,4.81,4.99,4.99,131900
2018-01-24,4.98,5.02,4.85,4.99,4.99,96900
2018-01-25,5.02,5.04,4.88,5.02,5.02,112400
2018-01-26,5.04,5.04,4.82,4.96,4.96,150400
2018-01-29,4.92,4.94,4.85,4.9,4.9,50300
2018-01-30,4.89,4.92,4.71,4.91,4.91,177800
2018-01-31,4.94,4.96,4.72,4.76,4.76,180300
2018-02-01,4.75,4.82,4.66,4.76,4.76,146500
2018-02-02,4.69,4.8,4.6,4.69,4.69,174800
2018-02-05,4.63,4.71,4.5,4.51,4.51,315500
